Customer ID,Membership Start Date,Transaction Date,Payment Type,Revenue
386379,2019-02-19,2019-02-18,Annual Fee,285.9
386379,2019-02-19,2019-02-18,Monthly Fee,26.5
386379,2019-02-19,2019-03-19,Monthly Fee,26.5
386379,2019-02-19,2019-04-19,Monthly Fee,26.5
386379,2019-02-19,2019-05-19,Monthly Fee,26.5
385532,2019-02-15,2019-02-14,Annual Fee,285.9
385532,2019-02-15,2019-02-14,Monthly Fee,26.5
385532,2019-02-15,2019-03-15,Monthly Fee,26.5
385532,2019-02-15,2019-04-15,Monthly Fee,26.5
385532,2019-02-15,2019-05-15,Monthly Fee,26.5
382351,2019-02-02,2019-02-01,Annual Fee,331.9
382351,2019-02-02,2019-02-01,Monthly Fee,26.5
382351,2019-02-02,2019-03-02,Monthly Fee,26.5
382351,2019-02-02,2019-04-02,Monthly Fee,26.5
382351,2019-02-02,2019-05-02,Monthly Fee,26.5
375345,2019-01-05,2019-01-04,Annual Fee,331.9
375345,2019-01-05,2019-01-04,Monthly Fee,26.5
375345,2019-01-05,2019-02-05,Monthly Fee,26.5
375345,2019-01-05,2019-03-05,Monthly Fee,26.5
363517,2019-01-01,2018-12-05,Annual Fee,277.1
363517,2019-01-01,2018-12-05,Monthly Fee,26.5
363517,2019-01-01,2019-02-01,Monthly Fee,26.5
363517,2019-01-01,2019-03-01,Monthly Fee,26.5
363517,2019-01-01,2019-04-01,Monthly Fee,26.5
363517,2019-01-01,2019-05-01,Monthly Fee,26.5
362304,2018-12-02,2018-12-01,Annual Fee,2259.9
362304,2018-12-02,2018-12-01,Monthly Fee,26.5
362304,2018-12-02,2019-01-02,Monthly Fee,26.5
362304,2018-12-02,2019-02-02,Monthly Fee,26.5
362304,2018-12-02,2019-03-02,Monthly Fee,26.5
362304,2018-12-02,2019-04-02,Monthly Fee,26.5
362304,2018-12-02,2019-05-02,Monthly Fee,26.5
357115,2018-11-14,2018-11-13,Annual Fee,269.9
357115,2018-11-14,2018-11-13,Monthly Fee,26.5
357115,2018-11-14,2018-12-26,Monthly Fee,26.5
357115,2018-11-14,2019-01-14,Monthly Fee,26.5
357115,2018-11-14,2019-02-14,Monthly Fee,26.5
357115,2018-11-14,2019-03-14,Monthly Fee,26.5
357115,2018-11-14,2019-04-14,Monthly Fee,26.5
357115,2018-11-14,2019-05-14,Monthly Fee,26.5
348851,2018-10-24,2018-10-23,Annual Fee,285.9
348851,2018-10-24,2018-10-23,Monthly Fee,26.5
338049,2018-09-12,2018-09-11,Annual Fee,509.21
338049,2018-09-12,2018-09-11,Monthly Fee,26.5
336271,2018-09-05,2018-09-04,Annual Fee,331.91
336271,2018-09-05,2018-09-04,Monthly Fee,26.5
335310,2018-09-01,2018-08-31,Annual Fee,668.055
335310,2018-09-01,2018-08-31,Monthly Fee,26.5
335396,2018-09-01,2018-08-31,Annual Fee,402.24
335396,2018-09-01,2018-08-31,Monthly Fee,26.5
333197,2018-08-24,2018-08-23,Annual Fee,1033.4099999999999
333197,2018-08-24,2018-08-23,Monthly Fee,26.5
332818,2018-08-22,2018-08-21,Annual Fee,500.295
332818,2018-08-22,2018-08-21,Monthly Fee,26.5
331824,2018-08-18,2018-08-17,Annual Fee,331.905
331824,2018-08-18,2018-08-17,Monthly Fee,26.5
331824,2018-08-18,2018-09-18,Monthly Fee,26.5
331496,2018-08-17,2018-08-16,Annual Fee,311.79
331496,2018-08-17,2018-08-16,Monthly Fee,26.5
331496,2018-08-17,2018-09-17,Monthly Fee,26.5
331496,2018-08-17,2018-10-17,Monthly Fee,26.5
331496,2018-08-17,2018-11-17,Monthly Fee,26.5
331496,2018-08-17,2018-12-17,Monthly Fee,26.5
331496,2018-08-17,2019-01-17,Monthly Fee,26.5
331496,2018-08-17,2019-02-17,Monthly Fee,26.5
331496,2018-08-17,2019-03-17,Monthly Fee,26.5
331496,2018-08-17,2019-04-17,Monthly Fee,26.5
331496,2018-08-17,2019-05-17,Monthly Fee,26.5
330865,2018-08-15,2018-08-14,Annual Fee,331.905
330865,2018-08-15,2018-08-14,Monthly Fee,26.5
330669,2018-08-14,2018-08-13,Annual Fee,331.905
330669,2018-08-14,2018-08-13,Monthly Fee,26.5
330774,2018-08-14,2018-08-13,Annual Fee,1400.61
330774,2018-08-14,2018-08-13,Monthly Fee,26.5
330774,2018-08-14,2018-09-14,Monthly Fee,26.5
330774,2018-08-14,2018-10-14,Monthly Fee,26.5
330774,2018-08-14,2018-11-14,Monthly Fee,26.5
329736,2018-08-09,2018-08-08,Annual Fee,242.625
329736,2018-08-09,2018-08-08,Monthly Fee,26.5
329736,2018-08-09,2018-09-09,Monthly Fee,26.5
327122,2018-08-01,2018-07-30,Annual Fee,311.79
327122,2018-08-01,2018-07-30,Monthly Fee,26.5
327631,2018-08-01,2018-07-31,Annual Fee,1009.875
327631,2018-08-01,2018-07-31,Monthly Fee,26.5
327631,2018-08-01,2018-09-18,Monthly Fee,26.5
321309,2018-07-05,2018-07-04,Annual Fee,331.905
321309,2018-07-05,2018-07-04,Monthly Fee,26.5
321309,2018-07-05,2018-08-05,Monthly Fee,26.5
321309,2018-07-05,2018-10-03,Monthly Fee,26.5
321309,2018-07-05,2018-10-05,Monthly Fee,26.5
321309,2018-07-05,2018-11-05,Monthly Fee,26.5
320596,2018-07-02,2018-07-01,Annual Fee,668.055
320596,2018-07-02,2018-07-01,Monthly Fee,26.5
